Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-August-2020,660.00,667.85,655.00,662.35,663.092666474725455517,72939,2273,48365316.00,14217,19.49,12.85,2.35
6-August-2020,653.00,666.50,649.50,659.95,652.098477297182682723,1009258,8030,658135605.00,821010,81.35,17.00,6.95
5-August-2020,658.10,661.60,643.00,648.85,651.221270723942613800,193496,5455,126008711.00,49355,25.51,18.60,-9.25
4-August-2020,674.90,675.95,650.65,652.90,656.919488015902343302,156958,4149,103108769.00,40577,25.85,25.30,-22.00
3-August-2020,685.00,686.90,669.50,673.55,676.644550942926495300,128536,4833,86973184.00,38742,30.14,17.40,-11.45
31-July-2020,677.00,685.40,673.50,682.00,680.159938045052021953,148495,4899,101000350.00,47569,32.03,11.90,5.00
30-July-2020,680.15,687.15,669.55,674.90,679.106030527762470371,150617,3836,102284913.00,28248,18.75,17.60,-5.25
29-July-2020,689.40,695.00,671.30,675.90,678.549371338083927157,157875,4074,107125982.00,35409,22.43,23.70,-13.50
28-July-2020,672.00,702.40,668.00,683.50,686.292616613017136542,819827,18160,562641217.00,98675,12.04,34.40,11.50
27-July-2020,650.00,671.45,642.80,664.05,661.292223627167630057,487168,14106,322160410.00,132415,27.18,28.65,14.05
24-July-2020,633.00,655.00,625.20,652.75,641.913211315386298971,365520,9884,234632117.00,47383,12.96,29.80,19.75
23-July-2020,613.70,634.45,606.65,632.20,622.667140128324435519,387923,9196,241546905.00,90042,23.21,27.80,18.50
22-July-2020,621.50,626.30,611.50,618.10,617.758487976609582910,234626,5285,144942203.00,38409,16.37,14.80,-3.40
21-July-2020,630.00,634.45,615.60,620.80,621.312158645824828917,477693,9278,296796469.00,85748,17.95,18.85,-9.20
20-July-2020,605.00,625.80,598.05,623.40,610.145977583684059676,265164,7605,161788748.00,66293,25.00,27.75,18.40
17-July-2020,609.00,609.00,590.30,599.95,598.389837907603537941,210744,5570,126107068.00,89586,42.51,18.70,-9.05
16-July-2020,625.00,638.80,588.45,599.30,612.821757189278995333,409290,11515,250821817.00,65300,15.95,50.35,-25.70
15-July-2020,600.50,629.75,600.50,614.90,620.940106786776522345,362779,9365,225264031.00,56235,15.50,29.25,14.40
14-July-2020,594.00,603.60,593.00,598.25,597.700134824727853790,200260,6354,119695429.00,73489,36.70,10.60,4.25
13-July-2020,570.00,601.55,570.00,600.10,591.392057441840839404,426588,9490,252280755.00,70408,16.50,31.55,30.10
10-July-2020,577.00,577.00,561.60,568.65,568.075331112923925863,192457,5007,109330074.00,36021,18.72,15.40,-8.35
9-July-2020,580.70,587.20,572.40,576.70,578.554825037473510104,96735,3652,55966501.00,25517,26.38,14.80,-4.00
8-July-2020,590.00,593.55,576.40,583.85,584.605314058841494451,78584,2681,45940624.00,18511,23.56,17.15,-6.15
7-July-2020,586.00,592.45,577.35,586.60,586.798702300104524243,175079,9188,102736130.00,66416,37.93,15.10,0.60
6-July-2020,575.90,587.80,572.90,581.50,581.272693604662495370,256515,6860,149105165.00,64476,25.14,14.90,5.60
3-July-2020,563.00,572.30,561.30,567.00,566.553768036220539076,118165,3754,66946826.00,28919,24.47,11.00,4.00
2-July-2020,549.90,562.50,542.75,560.75,554.145462300416084771,555656,34040,307914251.00,363666,65.45,19.75,10.85
1-July-2020,543.10,547.20,536.45,545.95,542.107313326917281538,102867,4376,55764953.00,36236,35.23,10.75,2.85
30-June-2020,544.00,548.50,541.60,543.45,544.982334575485950246,99290,3319,54111296.00,33078,33.31,6.90,-0.55
29-June-2020,558.90,558.90,539.25,541.60,545.223643501743609915,132197,5606,72076930.00,67794,51.28,19.65,-17.30
26-June-2020,554.00,574.90,552.80,561.05,565.789907064772181576,212406,7213,120177171.00,56790,26.74,22.10,7.05
25-June-2020,551.50,565.45,551.50,554.35,558.901689525671835451,109439,4178,61165642.00,36181,33.06,13.95,2.85
24-June-2020,560.00,566.20,554.90,561.40,561.083236370179331853,83365,3089,46774704.00,23854,28.61,11.30,1.40
23-June-2020,546.10,560.00,543.50,558.75,554.503880152706449120,176024,6183,97605991.00,88935,50.52,16.50,12.65
22-June-2020,539.05,553.40,538.70,548.60,546.862232855119660102,124979,4308,68346295.00,29960,23.97,14.70,9.55
19-June-2020,540.00,542.70,532.00,538.65,536.439030852947639174,154734,5204,83005357.00,77149,49.86,10.70,-1.35
18-June-2020,536.90,539.90,531.05,536.10,535.152623118172324372,85223,4498,45607312.00,39134,45.92,8.85,-0.80
17-June-2020,533.05,544.95,528.40,535.70,538.269807025151777970,92240,3293,49650007.00,21743,23.57,16.55,2.65
16-June-2020,555.05,555.80,531.25,533.05,542.072179436040624712,162955,4869,88333372.00,41467,25.45,24.55,-22.00
15-June-2020,555.10,560.10,543.90,548.10,550.697607218898915137,78904,3635,43452244.00,17753,22.50,16.20,-7.00
12-June-2020,555.55,561.45,548.15,554.85,555.816175496249966872,150932,4897,83890447.00,39321,26.05,13.30,-0.70
11-June-2020,591.00,591.00,564.85,571.75,576.365644250395877383,109251,4153,62968523.00,34862,31.91,26.15,-19.25
10-June-2020,591.70,596.95,582.60,590.30,589.146725455896096427,83462,2925,49171364.00,15272,18.30,14.35,-1.40
9-June-2020,591.05,605.00,584.15,585.80,594.221848428835489833,162300,4886,96442206.00,28671,17.67,20.85,-5.25
8-June-2020,580.35,599.50,580.35,590.80,592.664882365637815670,115825,3168,68645410.00,24575,21.22,19.15,10.45
5-June-2020,589.00,593.50,575.40,579.95,584.097185267267538123,155219,4869,90662981.00,27090,17.45,18.10,-9.05
4-June-2020,555.00,584.00,555.00,582.45,576.123050620335928655,302981,7444,174554338.00,48655,16.06,29.00,27.45
3-June-2020,550.10,565.45,550.10,552.90,559.075280784327052146,117706,4174,65806515.00,22958,19.50,15.35,2.80
2-June-2020,547.90,548.50,538.60,547.55,544.554245177460502170,89372,3023,48667902.00,25518,28.55,9.90,-0.35
1-June-2020,535.00,554.65,535.00,543.00,545.348694178790791638,122758,4110,66945915.00,30350,24.72,19.65,8.00
29-May-2020,531.00,535.60,525.00,530.40,529.837854298699731672,696164,3504,368854040.00,44070,6.33,10.60,-0.60
28-May-2020,529.80,532.05,517.50,529.90,528.496502267978051995,757062,3484,400104619.00,32142,4.25,14.55,0.10
27-May-2020,522.90,525.85,512.10,523.50,520.693704099575905940,58006,2192,30203359.00,10860,18.72,13.75,0.60
26-May-2020,534.00,540.25,518.55,520.00,527.848716490080352698,84378,3761,44538819.00,21902,25.96,21.70,-14.00
22-May-2020,515.00,530.65,515.00,529.70,529.049026242821661826,304388,2751,161036175.00,235750,77.45,15.65,14.70
21-May-2020,520.00,521.50,510.05,519.90,517.043664546318637128,68385,3378,35358031.00,10973,16.05,11.45,-0.10
20-May-2020,515.00,524.75,511.00,519.35,519.475656932112004169,49891,2518,25917160.00,15782,31.63,13.75,4.35
19-May-2020,506.00,519.40,503.85,512.65,513.977517150474821005,66762,2288,34314167.00,18286,27.39,15.55,6.65
18-May-2020,512.90,514.85,501.50,503.85,508.126423232141123607,72107,2870,36639472.00,21550,29.89,13.35,-9.05
