Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-August-2020,512.50,524.45,506.65,521.30,513.193620244839155473,766299,10730,393259758.00,263913,34.44,17.80,8.80
17-August-2020,510.05,514.80,502.25,513.00,509.944339580458889059,626208,12570,319331225.00,203005,32.42,12.55,2.95
14-August-2020,517.15,523.30,500.25,507.35,512.492849949045613888,334613,6980,171486770.00,88433,26.43,23.05,-9.80
13-August-2020,520.55,527.70,516.60,518.65,521.936991937247003796,301882,5506,157563383.00,75274,24.93,11.10,-1.90
12-August-2020,519.40,530.30,513.00,520.50,522.443439701671736253,448097,8949,234105338.00,91022,20.31,17.30,1.10
11-August-2020,515.00,525.00,509.60,521.85,517.364519835555522394,536108,8760,277363258.00,179241,33.43,15.40,6.85
10-August-2020,511.20,517.25,506.70,509.35,512.595328562470877221,695332,17854,356423935.00,287468,41.34,10.55,-1.85
7-August-2020,495.50,513.20,492.50,509.10,504.025464152762749740,721799,12906,363805076.00,233958,32.41,20.70,13.60
6-August-2020,497.15,501.90,485.60,494.75,494.779489933116545600,1163965,21361,575906009.00,282667,24.28,16.30,-2.40
5-August-2020,496.55,506.00,490.40,492.85,498.243390807715818295,552942,10967,275499697.00,140704,25.45,15.60,-3.70
4-August-2020,510.00,510.00,483.45,492.60,491.774084979576565050,1127871,30089,554657729.00,325138,28.83,26.55,-17.40
3-August-2020,523.50,523.50,501.00,503.20,506.121397671470059657,578133,14087,292605482.00,235085,40.66,22.50,-20.30
31-July-2020,524.50,528.40,515.75,523.60,522.324366343164044096,488198,10011,254997711.00,67046,13.73,12.65,-0.90
30-July-2020,544.10,546.50,515.30,519.85,530.791684754703550771,882259,20430,468295741.00,189258,21.45,31.20,-24.25
29-July-2020,532.35,563.75,532.35,550.80,552.015938532787531633,2231824,36180,1232002420.00,887212,39.75,31.40,18.45
28-July-2020,511.05,529.10,511.05,526.90,521.508081596784670501,1051463,27662,548346452.00,169485,16.12,18.05,15.85
27-July-2020,524.90,524.90,505.00,506.40,510.168650964299024847,488334,9889,249132698.00,111069,22.74,19.90,-18.50
24-July-2020,505.00,536.10,500.00,522.20,519.840325958621100317,2149598,45317,1117447725.00,426806,19.86,36.10,17.20
23-July-2020,513.20,520.85,510.00,513.95,514.819263245614915812,497995,8538,256377419.00,69979,14.05,10.85,0.75
22-July-2020,528.90,528.90,508.05,513.45,516.601343661176244358,832055,13524,429840731.00,139637,16.78,20.85,-15.45
21-July-2020,536.50,537.90,521.00,523.40,527.011702975722521068,726311,10808,382774397.00,129936,17.89,16.90,-13.10
20-July-2020,525.00,541.40,521.90,528.50,530.213819222800998015,1653682,28714,876805049.00,323914,19.59,19.50,3.50
17-July-2020,524.00,526.40,512.10,520.80,518.833923731214815369,935245,12209,485236833.00,85700,9.16,14.30,-3.20
16-July-2020,509.00,521.10,490.55,518.50,507.034677657654906560,1113397,19421,564530889.00,152425,13.69,30.55,9.50
15-July-2020,518.20,527.70,500.00,503.50,517.170431186601219082,1402038,28125,725092597.00,219678,15.67,27.70,-14.70
14-July-2020,535.00,535.00,505.25,510.85,514.661818795430055488,1167454,19473,600843999.00,211728,18.14,29.75,-24.15
13-July-2020,548.80,554.55,534.50,539.60,541.027351227507656967,668672,10900,361769841.00,104750,15.67,20.05,-9.20
10-July-2020,554.00,554.45,532.85,539.15,542.148757266475925317,1286559,22665,697506363.00,179469,13.95,21.60,-14.85
9-July-2020,558.00,570.00,550.45,556.55,558.160127424046436438,1535346,32119,856968919.00,250001,16.28,19.55,-1.45
8-July-2020,533.15,577.80,532.05,552.85,561.277528253834507673,3954419,64007,2219526522.00,280799,7.10,45.75,19.70
7-July-2020,495.95,529.80,492.25,526.20,512.534684316238929359,4087049,79230,2094754369.00,1505879,36.85,37.55,30.25
6-July-2020,495.25,509.00,493.45,495.95,502.267445774260661824,2278761,50903,1144547467.00,763436,33.50,15.55,0.70
3-July-2020,498.05,500.35,484.60,487.25,489.814789123027314343,820265,14322,401777928.00,102933,12.55,15.75,-10.80
2-July-2020,496.65,508.00,493.00,494.65,500.278134425715187774,1007218,16844,503889142.00,154197,15.31,15.00,-2.00
1-July-2020,481.50,494.40,474.85,492.35,483.294714147337284269,1440165,17104,696024132.00,200366,13.91,19.55,10.85
30-June-2020,490.00,494.00,472.05,474.65,483.158036400072329010,1205602,22632,582496295.00,216285,17.94,21.95,-15.35
29-June-2020,484.80,486.75,472.65,480.05,478.317220999993251496,1185448,16347,567020193.00,162150,13.68,14.10,-4.75
26-June-2020,483.60,500.70,481.30,492.35,490.399604593661965313,1404631,23634,688830487.00,183226,13.04,19.40,8.75
25-June-2020,479.00,490.40,460.75,475.05,476.563050852059042876,2504756,65717,1193674161.00,470752,18.79,29.65,-3.95
